From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A158P0F3	A0A158P0F3	unreviewed	A0A158P0F3_ATTCE	Odorant receptor	105626575	Atta cephalotes (Leafcutter ant)	337		membrane [GO:0016020]	odorant binding [GO:0005549]; olfactory receptor activity [GO:0004984]	GO:0004984; GO:0005549; GO:0016020
Q2RKN9	Q2RKN9	unreviewed	Q2RKN9_MOOTA	DNA topoisomerase I	Moth_0675	Moorella thermoacetica (strain ATCC 39073 / JCM 9320)	1041	DNA topological change [GO:0006265]	chromosome [GO:0005694]	DNA binding [GO:0003677]; DNA topoisomerase activity [GO:0003916]; helicase activity [GO:0004386]	GO:0003677; GO:0003916; GO:0004386; GO:0005694; GO:0006265
A0A0G0C5Y1	A0A0G0C5Y1	unreviewed	A0A0G0C5Y1_9BACT	AAA+ ATPase domain-containing protein	UR30_C0016G0031	Candidatus Peregrinibacteria bacterium GW2011_GWC2_33_13	391	DNA replication [GO:0006260]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]	GO:0003677; GO:0005524; GO:0006260; GO:0016887
A0A0G0UTP9	A0A0G0UTP9	unreviewed	A0A0G0UTP9_9BACT	Membrane protein insertase, YidC/Oxa1 family	UT91_C0024G0005	Parcubacteria group bacterium GW2011_GWA2_40_23	286	protein transport [GO:0015031]	membrane [GO:0016020]	membrane insertase activity [GO:0032977]	GO:0015031; GO:0016020; GO:0032977
A0A1F6CID2	A0A1F6CID2	unreviewed	A0A1F6CID2_9BACT	Membrane insertase YidC/Oxa/ALB C-terminal domain-containing protein	A2704_03610	Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_54_36b	243	protein transport [GO:0015031]	membrane [GO:0016020]	membrane insertase activity [GO:0032977]	GO:0015031; GO:0016020; GO:0032977
A0A1I7RZS0	A0A1I7RZS0	unreviewed	A0A1I7RZS0_BURXY	(pine wood nematode) hypothetical protein	BXYJ_LOCUS7800	Bursaphelenchus xylophilus (Pinewood nematode worm) (Aphelenchoides xylophilus)	355		membrane [GO:0016020]		GO:0016020
Q07PL8	Q07PL8	unreviewed	Q07PL8_RHOP5	AAA ATPase, central domain protein	RPE_2172	Rhodopseudomonas palustris (strain BisA53)	642	proteolysis [GO:0006508]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]	GO:0004176; GO:0004222; GO:0005524; GO:0006508; GO:0016887
F3YA78	F3YA78	unreviewed	F3YA78_MELPT	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	MPTP_0947	Melissococcus plutonius (strain ATCC 35311 / CIP 104052 / LMG 20360 / NCIMB 702443)	440			acyltransferase activity [GO:0016746]	GO:0016746
A3JN51	A3JN51	unreviewed	A3JN51_9RHOB	Replication-associated recombination protein A	RB2150_13706	Rhodobacteraceae bacterium HTCC2150	438	DNA replication [GO:0006260]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]	GO:0003677; GO:0005524; GO:0006260; GO:0016887
A0A1E5X661	A0A1E5X661	unreviewed	A0A1E5X661_9PSED	Thioesterase	AX279_19995	Pseudomonas sp. J237	179			hydrolase activity [GO:0016787]	GO:0016787
A0A0C2GM38	A0A0C2GM38	unreviewed	A0A0C2GM38_9BILA	7TM GPCR serpentine receptor class x (Srx) domain-containing protein	ANCDUO_07433	Ancylostoma duodenale	170		membrane [GO:0016020]		GO:0016020
A0A1V3NV87	A0A1V3NV87	unreviewed	A0A1V3NV87_9GAMM	Membrane insertase YidC/Oxa/ALB C-terminal domain-containing protein	B0E52_17685	Rhodanobacter sp. C06	211	protein transport [GO:0015031]	membrane [GO:0016020]	membrane insertase activity [GO:0032977]	GO:0015031; GO:0016020; GO:0032977
I1IQB8	I1IQB8	unreviewed	I1IQB8_BRADI	AAA+ ATPase domain-containing protein	100822068 BRADI_4g30930v3	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	519	response to stress [GO:0006950]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0006950; GO:0016887
A0A1Y1UXT0	A0A1Y1UXT0	unreviewed	A0A1Y1UXT0_9FUNG	AAA-ATPase-like domain-containing protein	BCR36DRAFT_587195	Piromyces finnis	791				
O18104	O18104	unreviewed	O18104_CAEEL	Serpentine Receptor, class H	srh-70 CELE_T21B4.9 T21B4.9	Caenorhabditis elegans	334		membrane [GO:0016020]		GO:0016020
E4TKF8	E4TKF8	unreviewed	E4TKF8_MARTH	DNA helicase	Ftrac_0127	Marivirga tractuosa (strain ATCC 23168 / DSM 4126 / NBRC 15989 / NCIMB 1408 / VKM B-1430 / H-43) (Microscilla tractuosa) (Flexibacter tractuosus)	655			ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	GO:0003677; GO:0004386; GO:0005524
Q7NHH0	Q7NHH0	unreviewed	Q7NHH0_GLOVI	Ribulose-bisphosphate carboxylase activase	rca	Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)	294			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
A0A0M3J4T1	A0A0M3J4T1	unreviewed	A0A0M3J4T1_ANISI	7TM_GPCR_Srx domain-containing protein	ASIM_LOCUS2407 ASIM_LOCUS2411	Anisakis simplex (Herring worm)	77		membrane [GO:0016020]		GO:0016020
A0A0S2W6X6	A0A0S2W6X6	unreviewed	A0A0S2W6X6_9FIRM	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	IB211_02512	Intestinimonas butyriciproducens	723	carbohydrate metabolic process [GO:0005975]; nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity [GO:0008663]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005975; GO:0008252; GO:0008663; GO:0009166; GO:0046872; GO:0110165
A0A0M2U3N4	A0A0M2U3N4	unreviewed	A0A0M2U3N4_9FIRM	Glyoxylate reductase	SY88_12105	Clostridiales bacterium PH28_bin88	325			NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0016616; GO:0051287
S7QG91	S7QG91	unreviewed	S7QG91_GLOTA	Thioesterase domain-containing protein	GLOTRDRAFT_34448	Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617) (Brown rot fungus)	148			acyl-CoA hydrolase activity [GO:0047617]	GO:0047617
K1R189	K1R189	unreviewed	K1R189_CRAGI	Prostaglandin E2 receptor EP4 subtype	CGI_10027614	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	339		membrane [GO:0016020]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020
